survey3,HHID3,IndID3,mainActivity,mainmode,numAccomp,parkType,wf3,TrvlTime,TrvlDist,StayTime
bsh,1000270,3,1,0,1,9,41.270985,,,274.983
bsh,1000270,3,4,9,1,9,41.270985,45,3.25037,520.017
bsh,1000270,3,1,9,1,9,41.270985,50,3.25037,548.983
bsh,1000270,4,1,0,1,9,41.270985,,,270
bsh,1000270,4,4,9,1,9,41.270985,30,3.00611,405
bsh,1000270,4,1,9,1,9,41.270985,10,3.00611,724.967
bsh,1000270,5,1,0,1,9,41.270985,,,300
bsh,1000270,5,12,1,4,9,41.270985,15,0.764935,7.58333
bsh,1000270,5,4,1,4,9,41.270985,3.71667,0.096642,618.7
bsh,1000270,5,1,1,4,9,41.270985,14.9833,0.78329,479.983
bsh,1000270,6,1,0,1,9,41.270985,,,300
bsh,1000270,6,12,1,4,9,41.270985,15,0.764935,7.58333
bsh,1000270,6,4,1,4,9,41.270985,3.71667,0.254334,618.7
bsh,1000270,6,1,1,4,9,41.270985,14.9833,0.87681,479
bsh,1000270,7,1,0,1,9,41.270985,,,300
bsh,1000270,7,12,1,4,9,41.270985,15,0.764935,7.58333
bsh,1000270,7,4,1,4,9,41.270985,3.71667,0.00885532,618.7
bsh,1000270,7,1,1,4,9,41.270985,14.9833,0.756368,479
bsh,1000270,8,1,0,1,9,41.270985,,,300
bsh,1000270,8,12,1,4,9,41.270985,15,0.764935,7.58333
bsh,1000270,8,11,1,4,9,41.270985,3.71667,0.096642,0.316667
bsh,1000270,8,1,1,1,9,41.270985,10.9833,0.78329,54.6833
bsh,1000270,8,11,3,1,9,41.270985,52.4,2.2129,97.4667
bsh,1000270,8,11,3,1,9,41.270985,36.85,2.53287,5.81667
bsh,1000270,8,11,1,1,9,41.270985,6.83333,0.188535,7.08333
bsh,1000270,8,1,3,1,9,41.270985,27.4667,1.94201,298.783
bsh,1000270,8,11,1,1,9,41.270985,15.0167,0.417202,5
bsh,1000270,8,1,1,4,9,41.270985,14.9833,0.417202,479
bsh,1000320,1,1,0,1,9,52.447647,,,270
bsh,1000320,1,11,1,2,9,52.447647,3,0.269647,1.81667
bsh,1000320,1,2,11,1,9,52.447647,6.58333,0.455559,457.6
bsh,1000320,1,11,11,1,9,52.447647,7,0.455559,4
bsh,1000320,1,1,11,2,9,52.447647,3.76667,0.269647,686.2
bsh,1000320,2,1,0,1,9,52.447647,,,258.933
bsh,1000320,2,3,10,1,9,52.447647,22.6,13.087,483.467
bsh,1000320,2,1,10,1,9,52.447647,12.8333,13.087,3.35
bsh,1000320,2,7,10,1,9,52.447647,38.4667,0.507927,25.45
bsh,1000320,2,6,10,1,9,52.447647,1.88333,0.459775,6.6
bsh,1000320,2,1,10,1,9,52.447647,4.21667,0.795567,581.183
bsh,1000320,3,1,0,1,9,52.447647,,,270
bsh,1000320,3,4,1,1,9,52.447647,3,0.269647,477
bsh,1000320,3,1,1,1,9,52.447647,3,0.269647,686.967
bsh,1000330,1,1,0,1,9,28.185598,,,223.567
bsh,1000330,1,2,10,1,9,28.185598,105.383,67.9357,521.583
bsh,1000330,1,7,10,1,9,28.185598,14.25,3.18111,56.25
bsh,1000330,1,7,10,1,9,28.185598,24.3,6.4501,56.65
bsh,1000330,1,7,10,1,9,28.185598,21.5833,6.4501,416.4
bsh,1000330,2,1,0,1,9,28.185598,,,290
bsh,1000330,2,4,11,2,9,28.185598,64,35.445,301.833
bsh,1000330,2,5,11,2,9,28.185598,19.0333,9.37557,2.21667
bsh,1000330,2,1,11,1,9,28.185598,42.3833,27.8485,144.9
bsh,1000330,2,2,1,1,9,28.185598,19.3167,0.741572,343.3
bsh,1000330,2,1,9,2,9,28.185598,3.36667,0.741572,209.617
bsh,1000350,1,1,0,1,9,34.990002,,,1438.98
bsh,1000360,1,1,0,1,9,34.990002,,,1438.98
bsh,1000370,1,1,0,1,9,34.990002,,,1438.98
bsh,1000380,1,1,0,1,9,34.990002,,,1438.98
bsh,1000390,1,1,0,1,9,34.990002,,,1438.98
bsh,1000400,1,1,0,1,9,34.990002,,,575.067
bsh,1000400,1,6,1,1,9,34.990002,18.9167,0.69167,11.7833
bsh,1000400,1,6,1,1,9,34.990002,1.23333,0.0425728,8.53333
bsh,1000400,1,5,1,1,9,34.990002,21.55,1.2159,2.16667
bsh,1000400,1,5,1,1,9,34.990002,3.05,0.0399217,4.93333
bsh,1000400,1,5,1,1,9,34.990002,14.15,0.547633,11.2167
bsh,1000400,1,1,1,1,9,34.990002,18.4,1.20118,84.5
bsh,1000400,1,7,3,1,9,34.990002,14.6167,1.57001,0.25
bsh,1000400,1,9,1,1,9,34.990002,9.51667,0.574123,59.1167
bsh,1000400,1,1,8,1,9,34.990002,10.9833,2.1437,569.983
bsh,1000420,1,1,0,1,9,34.990002,,,810
bsh,1000420,1,9,1,1,9,34.990002,1.98333,0.355336,58
bsh,1000420,1,1,1,1,9,34.990002,6,0.355336,563
bsh,1000440,1,1,0,1,9,34.990002,,,1439.97
bsh,1000533,1,1,0,1,9,30.942287,,,209.933
bsh,1000533,1,7,10,2,9,30.942287,23.0667,3.09736,32
bsh,1000533,1,7,10,1,9,30.942287,9.85,2.75147,91.7333
bsh,1000533,1,7,10,1,9,30.942287,12.5667,2.75147,22.15
bsh,1000533,1,5,10,2,9,30.942287,4.3,0.951108,5.31667
bsh,1000533,1,7,10,1,9,30.942287,4.21667,0.951108,67.6833
bsh,1000533,1,11,10,1,9,30.942287,11.1667,2.75147,3.96667
bsh,1000533,1,7,10,1,9,30.942287,7.2,1.39276,33.4167
bsh,1000533,1,6,10,1,9,30.942287,6.13333,1.39276,4.81667
bsh,1000533,1,2,10,1,9,30.942287,2.45,0.478121,9.7
bsh,1000533,1,7,10,1,9,30.942287,1.55,0.478121,7.18333
bsh,1000533,1,7,10,1,9,30.942287,9.36667,2.75147,116.317
bsh,1000533,1,7,10,1,9,30.942287,9.21667,2.75147,60.4333
bsh,1000533,1,7,10,1,9,30.942287,9.88333,2.75147,72.4833
bsh,1000533,1,7,10,1,9,30.942287,13.8167,2.75147,70.0833
bsh,1000533,1,11,10,1,9,30.942287,10,0.478121,1
bsh,1000533,1,7,10,1,9,30.942287,16.9833,0.478121,479.983
bsh,1000533,2,1,0,1,9,30.942287,,,320.8
bsh,1000533,2,7,1,1,9,30.942287,11.7333,0.478121,362.683
bsh,1000533,2,7,1,1,9,30.942287,17.8,0.109092,214.967
bsh,1000533,2,1,11,1,9,30.942287,4.2,0.58718,407.417
bsh,1000533,2,7,1,1,9,30.942287,50.9333,0.201272,27.3333
bsh,1000533,2,1,1,1,9,30.942287,1.53333,0.201272,20.5667
bsh,1000650,1,1,0,1,9,9.068449,,,481.283
bsh,1000650,1,4,1,1,9,9.068449,14.7167,0.999954,15.95
bsh,1000650,1,6,1,1,9,9.068449,3.71667,0.210137,266.967
bsh,1000650,1,1,1,1,9,9.068449,15.9,0.962373,640.45
bsh,1000650,2,1,0,1,9,9.068449,,,820
bsh,1000650,2,4,2,1,9,9.068449,20,1.9662,299.983
bsh,1000650,2,10,2,1,9,9.068449,15.0167,4.26456,60
bsh,1000650,2,5,2,1,9,9.068449,10,4.48997,4.98333
bsh,1000650,2,1,2,1,9,9.068449,5.01667,1.14888,204.967
bsh,1000670,1,1,0,1,9,9.068449,,,300
bsh,1000670,1,4,2,1,9,9.068449,15,1.94447,675
bsh,1000670,1,1,2,1,9,9.068449,14.9833,1.94447,434
bsh,1000670,2,1,0,1,9,9.068449,,,1439.97
bsh,1000680,1,1,0,1,9,52.447647,,,1439.97
bsh,1000680,2,1,0,1,9,52.447647,,,1439.97
bsh,1000680,3,1,0,1,9,52.447647,,,930
bsh,1000680,3,2,3,1,9,52.447647,29.9833,1.7692,479.983
bsh,1000720,1,1,0,1,9,52.447647,,,656
bsh,1000720,1,4,2,1,9,52.447647,9,0.348072,117.983
bsh,1000720,1,1,2,1,9,52.447647,20.0167,0.348072,635.983
bsh,1000720,2,1,0,1,9,52.447647,,,390.033
bsh,1000720,2,4,1,1,9,52.447647,17.4833,1.38044,87.4833
bsh,1000720,2,8,1,1,9,52.447647,6.1,0.0370264,55.1333
bsh,1000720,2,9,1,1,9,52.447647,8.73333,0.431243,74.8
bsh,1000720,2,4,1,1,9,52.447647,10.2333,0.394618,99.55
bsh,1000720,2,1,1,1,9,52.447647,22.95,1.38044,68.1667
bsh,1000720,2,7,11,1,9,52.447647,61.95,49.6935,537.35
bsh,1000720,3,1,0,1,9,52.447647,,,689.667
bsh,1000720,3,4,2,1,9,52.447647,5.33333,0.348072,20.9833
bsh,1000720,3,1,2,1,9,52.447647,4.96667,0.348072,719.017
bsh,1000820,1,1,0,1,9,53.883751,,,180
bsh,1000820,1,2,3,1,9,53.883751,59.9833,3.20002,420.017
bsh,1000820,1,5,3,1,9,53.883751,104.283,3.04607,4.03333
bsh,1000820,1,3,1,1,9,53.883751,10.6833,0.651985,375.95
bsh,1000820,1,5,1,1,9,53.883751,3.3,0.188497,7.28333
bsh,1000820,1,1,3,1,9,53.883751,15.0167,1.58524,259.417
bsh,1000820,2,1,0,1,9,53.883751,,,265
bsh,1000820,2,2,9,1,9,53.883751,45,2.1152,47.6833
bsh,1000820,2,3,3,1,9,53.883751,87.75,57.1883,45.7167
bsh,1000820,2,3,9,1,9,53.883751,13.8167,3.20709,88.8667
bsh,1000820,2,3,9,1,9,53.883751,45.95,16.5783,300.217
bsh,1000820,2,1,9,1,9,53.883751,118.717,68.7656,381.25
bsh,1000820,3,1,0,1,9,53.883751,,,294.983
bsh,1000820,3,2,10,1,9,53.883751,5.01667,1.52098,109.983
bsh,1000820,3,1,10,1,9,53.883751,5.01667,1.52098,4.98333
bsh,1000820,3,2,10,1,9,53.883751,20.0167,1.52098,30
bsh,1000820,3,2,10,1,9,53.883751,2.76667,0,398.6
bsh,1000820,3,11,10,1,9,53.883751,14.3,1.48294,8.75
bsh,1000820,3,5,10,1,9,53.883751,13.6667,1.87529,3.71667
bsh,1000820,3,11,10,1,9,53.883751,138.183,1.05728,4.01667
bsh,1000820,3,1,10,1,9,53.883751,4,0.813112,381.967
bsh,1000820,4,1,0,1,9,53.883751,,,270
bsh,1000820,4,4,9,1,9,53.883751,24.9833,3.11455,335.017
bsh,1000820,4,1,9,1,9,53.883751,20,3.11455,788.983
bsh,1000830,1,1,0,1,9,53.883751,,,659.95
bsh,1000830,1,10,10,1,9,53.883751,8.03333,1.47266,66.55
bsh,1000830,1,5,10,1,9,53.883751,8.06667,3.16027,2.25
bsh,1000830,1,1,10,1,9,53.883751,6.63333,1.69631,109.183
bsh,1000830,1,9,10,1,9,53.883751,72.9667,88.7388,28.4833
bsh,1000830,1,9,10,1,9,53.883751,14.6667,0.790589,93.0167
bsh,1000830,1,9,10,1,9,53.883751,9.9,0.999201,210.3
bsh,1000830,1,9,11,1,9,53.883751,6.98333,0.676522,142
bsh,1000830,2,1,0,1,9,53.883751,,,255
bsh,1000830,2,4,1,1,9,53.883751,10,0.26416,365
bsh,1000830,2,1,1,1,9,53.883751,10,0.26416,200
bsh,1000830,2,1,11,3,9,53.883751,5,0.73156,593.983
bsh,1000830,3,1,0,1,9,53.883751,,,305
bsh,1000830,3,4,11,2,9,53.883751,5,0.748667,344.983
bsh,1000830,3,1,1,1,9,53.883751,10.0167,0.26416,175
bsh,1000830,3,1,11,3,9,53.883751,5,0.73156,593.983
bsh,1000830,4,1,0,1,9,53.883751,,,305
bsh,1000830,4,4,11,2,9,53.883751,5,0.748667,500
bsh,1000830,4,1,1,1,9,53.883751,10,0.26416,20
bsh,1000830,4,1,11,3,9,53.883751,5,0.73156,593.983
bsh,1000870,1,1,0,1,9,53.883751,,,741.067
bsh,1000870,1,11,10,1,9,53.883751,14.35,4.62236,32.3667
bsh,1000870,1,1,10,1,9,53.883751,16.25,4.62236,635.933
bsh,1000870,2,1,0,1,9,53.883751,,,210
bsh,1000870,2,2,11,1,9,53.883751,10,4.62236,567.783
bsh,1000870,2,1,11,1,9,53.883751,15.0167,4.62236,637.167
bsh,1000870,3,1,0,1,9,53.883751,,,419.983
bsh,1000870,3,4,3,1,9,53.883751,20.0167,2.71022,339.983
bsh,1000870,3,1,3,1,9,53.883751,20.0167,2.71022,638.983
bsh,1000870,4,1,0,1,9,53.883751,,,270
bsh,1000870,4,2,1,1,9,53.883751,4.98333,0.315377,475.017
bsh,1000870,4,1,1,1,9,53.883751,5,0.315377,265
bsh,1000870,4,9,1,1,9,53.883751,29.9833,2.34584,389
bsh,1000870,5,1,0,1,9,53.883751,,,840
bsh,1000870,5,2,11,1,9,53.883751,10,2.90088,410
bsh,1000870,5,1,11,1,9,53.883751,10,2.90088,168.983
bsh,1000940,1,1,0,1,9,9.068449,,,294.983
bsh,1000940,1,2,2,1,9,9.068449,4.03333,0.320345,600.983
bsh,1000940,1,1,2,1,9,9.068449,4.98333,0.320345,534
bsh,1000940,2,1,0,1,9,9.068449,,,257.417
bsh,1000940,2,2,9,1,9,9.068449,42.05,37.4412,560.567
bsh,1000940,2,1,9,1,9,9.068449,37.9667,37.4412,541.967
bsh,1000950,1,1,0,1,9,9.068449,,,425
bsh,1000950,1,4,1,1,9,9.068449,6,0.76095,239.067
bsh,1000950,1,5,10,1,9,9.068449,15.35,1.30026,7.96667
bsh,1000950,1,1,10,1,9,9.068449,8.61667,1.86303,737.967
bsh,1000950,2,1,0,1,9,9.068449,,,421
bsh,1000950,2,4,1,1,9,9.068449,8.88333,0.76095,644.383
bsh,1000950,2,5,11,1,9,9.068449,9.06667,3.35164,36.6667
bsh,1000950,2,1,11,1,9,9.068449,15,2.59211,304.967
bsh,1000970,1,1,0,1,9,9.068449,,,178.85
bsh,1000970,1,2,9,1,9,9.068449,51.8833,42.6409,553.917
bsh,1000970,1,1,9,1,9,9.068449,62.1167,42.6409,593.2
bsh,1000970,2,1,0,1,9,9.068449,,,262.833
bsh,1000970,2,2,9,1,9,9.068449,52.5333,44.6228,428.933
bsh,1000970,2,1,9,1,9,9.068449,57.6833,44.6228,637.983
bsh,1001030,1,1,0,1,9,9.068449,,,331.017
bsh,1001030,1,6,10,1,9,9.068449,3.98333,0.948831,6.01667
bsh,1001030,1,12,10,1,9,9.068449,3.83333,0.958508,0.416667
bsh,1001030,1,8,10,1,9,9.068449,2.01667,0.152512,27.9167
bsh,1001030,1,6,10,1,9,9.068449,21.9167,2.35291,32.8667
bsh,1001030,1,10,8,1,9,9.068449,19.9333,3.89431,80.15
bsh,1001030,1,6,1,1,9,9.068449,8.85,0.531849,103.15
bsh,1001030,1,1,8,1,9,9.068449,12.2667,2.9082,185.667
bsh,1001030,1,12,1,1,9,9.068449,10,1.09978,170
bsh,1001030,1,1,1,1,9,9.068449,10,1.09978,408.983
bsh,1001030,2,1,0,1,9,9.068449,,,290.033
bsh,1001030,2,2,7,1,9,9.068449,90.2833,90.1597,522.033
bsh,1001030,2,1,7,1,9,9.068449,92.3167,90.1597,445.3
bsh,1001040,1,1,0,1,9,24.4,,,607.833
bsh,1001040,1,4,1,1,9,24.4,6.53333,0.478704,329.617
bsh,1001040,1,1,1,1,9,24.4,7.83333,0.478704,115.183
bsh,1001040,1,9,1,1,9,24.4,23.4833,1.39505,95.7833
bsh,1001040,1,1,1,1,9,24.4,29.55,1.39505,224.15
bsh,1001140,1,1,0,1,9,23.457285,,,413
bsh,1001140,1,6,11,1,9,23.457285,17.9667,3.80215,65.0333
bsh,1001140,1,1,11,1,9,23.457285,20.1167,3.80215,923.85
bsh,1001140,2,1,0,1,9,23.457285,,,413.8
bsh,1001140,2,6,10,1,9,23.457285,17.1667,3.80215,65.0333
bsh,1001140,2,1,10,1,9,23.457285,20.1167,3.80215,923.85
bsh,1001150,1,1,0,1,9,25.348415,,,624
bsh,1001150,1,5,1,1,9,25.348415,6,0.439735,24.9833
bsh,1001150,1,1,1,1,9,25.348415,8.65,0.439735,53.55
bsh,1001150,1,6,1,1,9,25.348415,8.25,0.466563,2.2
bsh,1001150,1,1,1,1,9,25.348415,6.71667,0.466563,163.7
bsh,1001150,1,9,10,1,9,25.348415,3.78333,0.475764,19.3333
bsh,1001150,1,1,10,1,9,25.348415,2.2,0.475764,168.933
bsh,1001150,1,8,10,1,9,25.348415,8,2.1993,139.233
bsh,1001150,1,1,10,1,9,25.348415,6.13333,2.1993,194.3
bsh,1001150,2,1,0,1,9,25.348415,,,415.95
bsh,1001150,2,6,3,1,9,25.348415,40.5667,3.43134,124.283
bsh,1001150,2,1,3,1,9,25.348415,46.4167,3.43134,812.75
bsh,1001150,3,1,0,1,9,25.348415,,,305.067
bsh,1001150,3,2,8,1,9,25.348415,15.05,4.0718,501.417
bsh,1001150,3,6,3,1,9,25.348415,29.7167,4.27193,56.4667
bsh,1001150,3,1,3,1,9,25.348415,68.3167,3.43134,463.933
bsh,1001150,4,1,0,1,9,25.348415,,,496.433
bsh,1001150,4,2,3,1,9,25.348415,3.55,2.58646,490.017
bsh,1001150,4,1,3,1,9,25.348415,30,2.58646,418.983
bsh,1001150,5,1,0,1,9,25.348415,,,245.317
bsh,1001150,5,4,11,1,9,25.348415,11.7833,1.13693,92.7333
bsh,1001150,5,9,9,1,9,25.348415,248.167,199.606,479
bsh,1001150,5,9,9,1,9,25.348415,17.9833,13.8314,344.983
bsh,1001160,1,1,0,1,9,25.348415,,,274.983
bsh,1001160,1,11,10,3,9,25.348415,1.01667,0.501631,20
bsh,1001160,1,2,10,1,9,25.348415,4,1.8494,401.233
bsh,1001160,1,1,10,1,9,25.348415,10.6167,2.31951,48.15
bsh,1001160,1,11,10,1,9,25.348415,0.983333,0.501631,6
bsh,1001160,1,1,10,2,9,25.348415,1.01667,0.501631,671.967
bsh,1001160,2,1,0,1,9,25.348415,,,910.933
bsh,1001160,2,6,10,3,9,25.348415,9.91667,3.46413,79.3833
bsh,1001160,2,6,10,3,9,25.348415,2.76667,0.446019,15.3833
