survey2,hhid2,indID,relat,gender,age,degree,wf2
bsh,1001600,3,4,1,21,3,48.813015
bsh,1001620,1,3,2,36,4,48.813015
bsh,1001620,2,3,1,37,4,48.813015
bsh,1001620,3,4,2,10,,48.813015
bsh,1001620,4,4,2,8,,48.813015
bsh,1001620,5,4,1,6,,48.813015
bsh,1001620,6,4,2,1,,48.813015
bsh,1001640,1,3,2,31,3,48.813015
bsh,1001640,2,3,1,30,4,48.813015
bsh,1001640,3,4,1,5,,48.813015
bsh,1001640,4,4,2,2,,48.813015
bsh,1001690,1,1,1,71,5,43.189999
bsh,1001730,1,3,1,38,6,48.813015
bsh,1001730,2,3,2,34,6,48.813015
bsh,1001730,3,4,2,12,,48.813015
bsh,1001730,4,4,1,10,,48.813015
bsh,1001730,5,4,1,8,,48.813015
bsh,1001730,6,4,1,5,,48.813015
bsh,1001730,7,4,1,4,,48.813015
bsh,1001730,8,4,2,2,,48.813015
bsh,1001760,1,3,1,45,6,48.813015
bsh,1001760,2,3,2,44,6,48.813015
bsh,1001760,3,4,2,13,,48.813015
bsh,1001760,4,4,2,10,,48.813015
bsh,1001760,5,4,1,8,,48.813015
bsh,1001780,1,1,2,40,6,43.189999
bsh,1001800,1,3,1,76,1,48.813015
bsh,1001800,2,4,1,50,4,48.813015
bsh,1001800,3,6,2,24,4,48.813015
bsh,1001830,1,3,2,33,6,48.813015
bsh,1001830,2,3,1,33,6,48.813015
bsh,1001830,3,4,2,2,,48.813015
bsh,1001830,4,4,1,1,,48.813015
bsh,1001870,1,3,2,43,1,43.960041
bsh,1001870,2,3,1,18,4,43.960041
bsh,1001870,3,4,1,21,1,43.960041
bsh,1001870,4,4,1,17,,43.960041
bsh,1001870,5,4,2,15,,43.960041
bsh,1001870,6,4,1,6,,43.960041
bsh,1001870,7,4,1,6,,43.960041
bsh,1001880,1,3,2,31,3,43.960041
bsh,1001880,2,3,1,34,3,43.960041
bsh,1001880,3,4,1,7,,43.960041
bsh,1001880,4,4,1,4,,43.960041
bsh,1001880,5,4,1,1,,43.960041
bsh,1001890,1,4,1,27,5,34.472309
bsh,1001890,2,3,2,59,6,34.472309
bsh,1002000,1,3,2,32,5,43.960041
bsh,1002000,2,3,1,38,5,43.960041
bsh,1002000,3,4,2,4,,43.960041
bsh,1002000,4,4,1,1,,43.960041
bsh,1002010,1,3,1,32,3,43.960041
bsh,1002010,2,3,2,31,3,43.960041
bsh,1002010,3,4,1,2,,43.960041
bsh,1002010,4,4,1,1,,43.960041
bsh,1002020,1,3,2,41,6,43.960041
bsh,1002020,2,3,1,43,5,43.960041
bsh,1002020,3,4,1,14,,43.960041
bsh,1002020,4,4,2,7,,43.960041
bsh,1002050,1,3,2,30,6,43.960041
bsh,1002050,2,3,1,30,6,43.960041
bsh,1002050,3,4,1,1,,43.960041
bsh,1002050,4,4,2,1,,43.960041
bsh,1002070,1,3,2,43,3,43.960041
bsh,1002070,2,3,1,47,3,43.960041
bsh,1002070,3,4,2,14,,43.960041
